problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/hanoi_gr/,1.0,KL,"[0.5159541004213132, 5.4254142091824535, 2.17564914127676, 0.7048010174499952]",0,0,True,1
output/hanoi_gr/,1.0,KL2,"[0.515865401625341, 5.425182501910344, 2.1755098354875924, 0.7047066532465267]",0,0,True,1
output/hanoi_gr2/,0.1,MaxUtil,"[-0.025599999999999953, -0.025599999999999953, -0.04543413669478626, -0.016896301360209382]",0,2,False,0
output/hanoi_gr2/,0.1,DP,"[-1, -1, 0, 0]",0,1,False,0
output/hanoi_gr2/,0.1,KL,"[0.6415460290875237, 0.6415460290875237, 3.4033128936278367, 5.70723039207683]",0,1,False,0
output/hanoi_gr2/,0.1,KL2,"[0.641450972442358, 0.641450972442358, 3.403136509517411, 5.70698902667991]",0,1,False,0
output/hanoi_gr2/,0.3,MaxUtil,"[-1.0680959999999993, -1.0680959999999993, -0.4058429267088434, -1.0022676451601464]",0,1,False,0
output/hanoi_gr2/,0.3,DP,"[-3, -3, 0, -1]",0,1,False,0
output/hanoi_gr2/,0.3,KL,"[0.5091702619456483, 0.509170261945935, 4.895696451480792, 6.652934182197796]",0,0,True,1
output/hanoi_gr2/,0.3,KL2,"[0.5090848208507442, 0.5090848208510309, 4.895483234802311, 6.652673852759989]",0,0,True,1
output/hanoi_gr2/,0.5,MaxUtil,"[-0.49369599999999947, -0.49369599999999947, -0.45129145379039237, -1.019164046395247]",0,3,False,0
output/hanoi_gr2/,0.5,DP,"[-4, -4, 0, -1]",0,1,False,0
output/hanoi_gr2/,0.5,KL,"[0.4820121788563055, 0.4820121788563056, 4.451502314389254, 6.4644296187143215]",0,0,True,1
output/hanoi_gr2/,0.5,KL2,"[0.48192629116053143, 0.48192629116053154, 4.451299191522995, 6.464169655588808]",0,0,True,1
output/hanoi_gr2/,0.7,MaxUtil,"[-1.5958399999999988, -1.5958399999999988, -0.20445879012020202, -0.016906333792897636]",0,1,False,0
output/hanoi_gr2/,0.7,DP,"[-5, -5, 0, 0]",0,1,False,0
output/hanoi_gr2/,0.7,KL,"[0.5451427892850954, 0.5451427892852675, 5.783807672306636, 10.777792528821964]",0,0,True,1
output/hanoi_gr2/,0.7,KL2,"[0.5450508642986422, 0.5450508642988143, 5.783563005790077, 9.60317995411057]",0,0,True,1
output/hanoi_gr2/,1.0,MaxUtil,"[-1.6639359999999987, -1.6639359999999987, -0.6103009267603258, -1.0191739786479075]",0,1,False,0
output/hanoi_gr2/,1.0,DP,"[-7, -7, 0, -1]",0,1,False,0
output/hanoi_gr2/,1.0,KL,"[0.5159541004542068, 0.5159541004543298, 5.093495135582859, 8.344503136444681]",0,0,True,1
output/hanoi_gr2/,1.0,KL2,"[0.5158654016582336, 0.5158654016583565, 5.093272451444849, 7.853058487466084]",0,0,True,1
