problem,metric,step,g0,g1,g2,g3,real_goal,pred_goal,correct
output/skgrid_gr_test_show/,MaxUtil,1,-0.0006553514475820265,-0.0006553544153862221,-0.025599999786314692,-0.0255999990340409,0,2,False
output/skgrid_gr_test_show/,DP,1,-1.0,-1.0,-1.0,-1.0,0,3,False
output/skgrid_gr_test_show/,KL,1,1.9634739042769243,1.9634575725710182,1.963474131894725,1.9634741457884297,0,1,False
output/skgrid_gr_test_show/,MaxUtil,2,-0.0022932900130218535,-0.0022933380544081982,-0.035839995538052324,-0.03583989044795072,0,2,False
output/skgrid_gr_test_show/,DP,2,-2.0,-2.0,-1.0,-1.0,0,1,False
output/skgrid_gr_test_show/,KL,2,1.6598900055756083,1.6598648332594692,2.6948696359721858,2.694876182340893,0,1,False
output/skgrid_gr_test_show/,MaxUtil,3,-0.006387000666359234,-0.006378271612078923,-0.03993021008472249,-0.039926970725169854,0,2,False
output/skgrid_gr_test_show/,DP,3,-3.0,-3.0,-1.0,-1.0,0,1,False
output/skgrid_gr_test_show/,KL,3,1.50998095724083,1.5118221761433353,3.0830572140588792,3.0833580904114073,0,0,True
output/skgrid_gr_test_show/,MaxUtil,4,-0.016453731165156565,-0.01659815883291838,-0.04116976478481428,-0.041355265061849805,0,3,False
output/skgrid_gr_test_show/,DP,4,-4.0,-4.0,-1.0,-1.0,0,1,False
output/skgrid_gr_test_show/,KL,4,1.4384834003884828,1.4369010400598714,3.3662355290671098,3.3185428290148473,0,1,False
output/skgrid_gr_test_show/,MaxUtil,5,-0.042002145553788915,-0.04209245944943271,-0.041490891089845675,-0.041738623653194806,0,1,False
output/skgrid_gr_test_show/,DP,5,-5.0,-5.0,-1.0,-1.0,0,1,False
output/skgrid_gr_test_show/,KL,5,1.3863997103231074,1.3924847179508397,3.5861905081031864,3.5177456889202516,0,0,True
output/skgrid_gr_test_show/,MaxUtil,6,-0.10359284390343541,-0.1057536589133228,-0.04151433193099133,-0.041769398001855855,0,1,False
output/skgrid_gr_test_show/,DP,6,-6.0,-6.0,-1.0,-1.0,0,1,False
output/skgrid_gr_test_show/,KL,6,1.3602744231486563,1.3620351319362107,3.997026416904768,3.925143458962784,0,0,True
output/skgrid_gr_test_show/,MaxUtil,7,-0.26249456872668864,-0.128846742308656,-0.04151681879169433,-0.04180853662913625,0,0,True
output/skgrid_gr_test_show/,DP,7,-7.0,-7.0,-1.0,-1.0,0,1,False
output/skgrid_gr_test_show/,KL,7,1.217998013170146,1.6206469550819018,4.332717876758371,3.7357824140476628,0,0,True
output/skgrid_gr_test_show/,MaxUtil,8,-0.6624345131546521,-0.13444683169907953,-0.04151737819592582,-0.042134909285649405,0,0,True
output/skgrid_gr_test_show/,DP,8,-8.0,-7.0,-1.0,-1.0,0,0,True
output/skgrid_gr_test_show/,KL,8,1.1146708848387183,1.8927313663890057,4.651881880721359,3.4482473155895033,0,0,True
output/skgrid_gr_test_show/,MaxUtil,9,-1.6624270114310757,-0.13538755801499566,-0.04151741785471012,-0.04220245514688965,0,0,True
output/skgrid_gr_test_show/,DP,9,-9.0,-7.0,-1.0,-1.0,0,0,True
output/skgrid_gr_test_show/,KL,9,1.0351721745148363,2.202479266959701,5.067628020594076,3.650282115821033,0,0,True
