problem,obs,metric,g0,g1,g2,g3,real_goal,pred_goal,correct
output/hanoi_gr/,0.1,MaxUtil,-0.025599999999999953,-0.05767982263403154,-0.0016379972995421588,-0.025599999999999953,0,1,False
output/hanoi_gr/,0.1,DP,-1.0,0.0,0.0,-1.0,0,3,False
output/hanoi_gr/,0.1,KL,0.6415460290875237,3.165442881051066,2.1701930388457997,0.6415460290875062,0,3,False
output/hanoi_gr/,0.3,MaxUtil,-1.223999999999999,-0.013806323088051404,-0.004457829538652528,-0.6239998791150365,0,0,True
output/hanoi_gr/,0.3,DP,-3.0,0.0,0.0,-2.0,0,0,True
output/hanoi_gr/,0.3,KL,0.5612099958413238,7.454279206722103,2.24189183205725,1.0018528022416058,0,0,True
output/hanoi_gr/,0.5,MaxUtil,-1.0783359999999993,-0.5716928347810362,-0.006191067636718199,-0.4783358791150368,0,0,True
output/hanoi_gr/,0.5,DP,-4.0,0.0,0.0,-3.0,0,0,True
output/hanoi_gr/,0.5,KL,0.4820121787976043,5.70050002121331,2.1199869913335165,0.8124942835978097,0,0,True
output/hanoi_gr/,0.7,MaxUtil,-0.6598399999999993,-0.2314577126520035,-0.007755934392380663,-0.6598399999999993,0,3,False
output/hanoi_gr/,0.7,DP,-5.0,0.0,0.0,-5.0,0,3,False
output/hanoi_gr/,0.7,KL,0.49694116938524646,4.529958741360209,2.2231794646280774,0.4969411693852333,0,3,False
output/hanoi_gr/,1.0,MaxUtil,-1.6639359999999987,-0.6314577849619248,-0.010708758130527601,-1.0639358791150362,0,0,True
output/hanoi_gr/,1.0,DP,-7.0,0.0,0.0,-6.0,0,0,True
output/hanoi_gr/,1.0,KL,0.5159541004213132,5.4254142091824535,2.17564914127676,0.7048010174499952,0,0,True
output/hanoi_gr2/,0.1,MaxUtil,-0.025599999999999953,-0.025599999999999953,-0.04543413669478626,-0.016896301360209382,0,2,False
output/hanoi_gr2/,0.1,DP,-1.0,-1.0,0.0,0.0,0,1,False
output/hanoi_gr2/,0.1,KL,0.6415460290875237,0.6415460290875237,3.4033128936278367,5.70723039207683,0,1,False
output/hanoi_gr2/,0.3,MaxUtil,-1.0680959999999993,-1.0680959999999993,-0.4058429267088434,-1.0022676451601464,0,1,False
output/hanoi_gr2/,0.3,DP,-3.0,-3.0,0.0,-1.0,0,1,False
output/hanoi_gr2/,0.3,KL,0.5091702619456483,0.509170261945935,4.895696451480792,6.652934182197796,0,0,True
output/hanoi_gr2/,0.5,MaxUtil,-0.49369599999999947,-0.49369599999999947,-0.45129145379039237,-1.019164046395247,0,3,False
output/hanoi_gr2/,0.5,DP,-4.0,-4.0,0.0,-1.0,0,1,False
output/hanoi_gr2/,0.5,KL,0.4820121788563055,0.4820121788563056,4.451502314389254,6.4644296187143215,0,0,True
output/hanoi_gr2/,0.7,MaxUtil,-1.5958399999999988,-1.5958399999999988,-0.20445879012020202,-0.016906333792897636,0,1,False
output/hanoi_gr2/,0.7,DP,-5.0,-5.0,0.0,0.0,0,1,False
output/hanoi_gr2/,0.7,KL,0.5451427892850954,0.5451427892852675,5.783807672306636,9.603612142179276,0,0,True
output/hanoi_gr2/,1.0,MaxUtil,-1.6639359999999987,-1.6639359999999987,-0.6103009267603258,-1.0191739786479075,0,1,False
output/hanoi_gr2/,1.0,DP,-7.0,-7.0,0.0,-1.0,0,1,False
