problem,obs,metric,g0,g1,g2,g3,real_goal,pred_goal,correct
output/skgrid_gr/,0.1,MaxUtil,-0.06404194303999988,-0.1241632732219451,-0.006258199077664641,-0.0018623864571932624,0,1,False
output/skgrid_gr/,0.1,DP,-2.0,-2.0,-2.0,0.0,0,2,False
output/skgrid_gr/,0.1,KL,0.891204281829242,1.2635701634201115,1.3657834532016815,2.7536239101096616,0,0,True
output/skgrid_gr/,0.3,MaxUtil,-0.1039289956022689,-0.19061236888933958,-0.008208718704003323,-0.0004839395572536028,0,1,False
output/skgrid_gr/,0.3,DP,-4.0,-4.0,-4.0,-1.0,0,2,False
output/skgrid_gr/,0.3,KL,0.6867555653991222,1.4621173819362414,1.5549662967757525,2.072200710513394,0,0,True
output/skgrid_gr/,0.5,MaxUtil,-1.4048515900284073,-0.037261763513417104,-0.012038156622750075,-0.002693901821554791,0,0,True
output/skgrid_gr/,0.5,DP,-6.0,-2.0,-2.0,0.0,0,0,True
output/skgrid_gr/,0.5,KL,0.7277572354890441,2.679507094712273,2.121032295938357,2.730371622796691,0,0,True
output/skgrid_gr/,0.7,MaxUtil,-0.6655560160913143,-0.2392386981628655,-0.015055739834181384,-0.0028954326716684672,0,0,True
output/skgrid_gr/,0.7,DP,-9.0,-2.0,-2.0,0.0,0,0,True
output/skgrid_gr/,0.7,KL,0.8383677728176894,2.342099253603861,2.522113392083596,3.1485614315220505,0,0,True
output/skgrid_gr/,1.0,MaxUtil,-1.6664335312998872,-0.2760572391389405,-0.022196351394690325,-0.0034512689464517433,0,0,True
output/skgrid_gr/,1.0,DP,-12.0,-3.0,-2.0,0.0,0,0,True
output/skgrid_gr/,1.0,KL,0.8511866367936961,2.53239708726497,2.63420714844116,3.1997329728553403,0,0,True
output/skgrid_gr2/,0.1,MaxUtil,-0.06399999999999988,-0.00409599999999507,-0.025537502250717378,-0.06399991842648114,0,0,True
output/skgrid_gr2/,0.1,DP,-1.0,-1.0,-1.0,-1.0,0,3,False
output/skgrid_gr2/,0.1,KL,0.565597175853614,1.2141031506064521,1.2129496449463637,1.2141252230677586,0,0,True
output/skgrid_gr2/,0.3,MaxUtil,-1.0646553599999993,-0.06797473247743073,-0.4264842662863985,-0.06757247176932825,0,0,True
output/skgrid_gr2/,0.3,DP,-3.0,-3.0,-3.0,-2.0,0,2,False
output/skgrid_gr2/,0.3,KL,0.7103981171740162,1.1433341670693693,1.1426850793411727,2.157148637429191,0,0,True
output/skgrid_gr2/,0.5,MaxUtil,-0.47038975999985977,-0.030093673640154552,-0.19284439499062514,-0.08041171876104887,0,0,True
output/skgrid_gr2/,0.5,DP,-5.0,-5.0,-2.0,-4.0,0,1,False
output/skgrid_gr2/,0.5,KL,0.87065139525313,1.136607193129882,1.5164446539425582,1.6640453277102616,0,0,True
output/skgrid_gr2/,0.7,MaxUtil,-0.6621337599999992,-0.042370643131602104,-0.2694428095558405,-0.1377551425537574,0,0,True
output/skgrid_gr2/,0.7,DP,-7.0,-7.0,-7.0,-5.0,0,2,False
output/skgrid_gr2/,0.7,KL,0.6819934354738946,1.1078995973392327,1.153489112492588,1.8205387275601246,0,0,True
output/skgrid_gr2/,1.0,MaxUtil,-1.666229759999859,-0.1064583675548161,-0.6703893711106415,-0.14476833573255335,0,0,True
output/skgrid_gr2/,1.0,DP,-9.0,-9.0,-2.0,-6.0,0,1,False
output/skgrid_gr2/,1.0,KL,0.716731392915508,1.1238804009818075,1.3704531959204276,2.0124581250472264,0,0,True
output/skgrid_gr3/,0.1,MaxUtil,-0.06399899782351225,-0.00017891711318281458,-0.00019050403045688176,-0.06345781539877941,0,0,True
output/skgrid_gr3/,0.1,DP,-1.0,0.0,0.0,-1.0,0,3,False
output/skgrid_gr3/,0.1,KL,1.214127698292581,4.309468742237514,4.2316750145965925,1.2204598594018827,0,0,True
output/skgrid_gr3/,0.3,MaxUtil,-0.425599999999147,-0.0014003639833629132,-0.0006506968525103293,-0.031873383776941835,0,0,True
output/skgrid_gr3/,0.3,DP,-2.0,0.0,0.0,-1.0,0,0,True
output/skgrid_gr3/,0.3,KL,0.8073295913578916,2.7722409068200973,4.989573040965076,2.420356774326819,0,0,True
output/skgrid_gr3/,0.5,MaxUtil,-1.1855999871728362,-0.0014827924008354338,-0.0006832554858003972,-0.0494946040563812,0,0,True
output/skgrid_gr3/,0.5,DP,-3.0,0.0,0.0,-1.0,0,0,True
output/skgrid_gr3/,0.5,KL,0.6712426026859933,2.768003902568367,6.015556909786912,2.9325536566179817,0,0,True
output/skgrid_gr3/,0.7,MaxUtil,-1.6495989849963482,-0.0024106101838292813,-0.0008781474399480343,-0.11922598957114686,0,0,True
