problem,metric,g0,g1,g2,g3,real_goal,pred_goal,correct
output/hanoi_gr/,MaxUtil,-1.6639359999999987,-0.6314577849619248,-0.010708758130527601,-1.0639358791150362,0,0,1
output/hanoi_gr/,DP,-7.0,-3.0,-7.0,-7.0,0,3,0
output/hanoi_gr/,KL,0.5159541004213132,5.4254142091824535,2.17564914127676,0.7048010174499952,0,0,1
output/hanoi_gr/,KL2,0.515865401625341,5.425182501910344,2.1755098354875924,0.7047066532465267,0,0,1
output/hanoi_gr2/,MaxUtil,-1.6639359999999987,-1.6639359999999987,-0.6181268614470287,-1.0250690370322393,0,1,0
output/hanoi_gr2/,DP,-7.0,-7.0,-3.0,-1.0,0,1,0
output/hanoi_gr2/,KL,0.5159541004526316,0.5159541004486874,5.981907244744298,6.943077692790065,0,1,0
output/hanoi_gr2/,KL2,0.5158654016566585,0.5158654016527144,5.981659276369497,6.651871067652688,0,1,0
output/hanoi_gr3/,MaxUtil,-1.6495999999999986,-0.00783349066899648,-0.1045063687088526,-0.26257137415226495,0,0,1
output/hanoi_gr3/,DP,-5.0,-5.0,-3.0,-3.0,0,1,0
output/hanoi_gr3/,KL,0.5451427892603838,2.2114307413644823,3.290009672679708,3.196838236817188,0,0,1
output/hanoi_gr3/,KL2,0.5450508642739313,2.211287918023392,3.2898357586854976,3.1966669873181353,0,0,1
