problem,obs,metric,scores,real_goal,pred_goal,correct
output/skgrid_gr2/,1.0,DP,"[(0, -9), (1, -9), (3, -6), (2, -2)]",0,1,False
output/skgrid_gr2/,1.0,KL,"[(0, 0.716731392915508), (1, 1.1238804009818075), (2, 1.3704531959204276), (3, 2.0124581250472264)]",0,0,True
output/skgrid_gr2/,1.0,KL2,"[(0, 0.7166834110807198), (1, 1.1238307017218943), (2, 1.3704025820542294), (3, 2.0124049556672983)]",0,0,True
output/skgrid_gr3/,0.1,MaxUtil,"[(0, -0.06399899782351225), (3, -0.06345781539877941), (2, -0.00019050403045688176), (1, -0.00017891711318281458)]",0,0,True
output/skgrid_gr3/,0.1,DP,"[(0, -1), (3, -1), (1, 0), (2, 0)]",0,3,False
output/skgrid_gr3/,0.1,KL,"[(0, 1.214127698292581), (3, 1.2204598594018827), (2, 4.2316750145965925), (1, 4.309468742237514)]",0,0,True
output/skgrid_gr3/,0.1,KL2,"[(0, 1.214068863297282), (3, 1.2204009970802998), (2, 4.231604626266758), (1, 4.309398034188728)]",0,0,True
output/skgrid_gr3/,0.3,MaxUtil,"[(0, -0.425599999999147), (3, -0.031873383776941835), (1, -0.0014003639833629132), (2, -0.0006506968525103293)]",0,0,True
output/skgrid_gr3/,0.3,DP,"[(0, -2), (3, -1), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,0.3,KL,"[(0, 0.8073295913578916), (3, 2.420356774326819), (1, 2.7722409068200973), (2, 4.989573040965076)]",0,0,True
output/skgrid_gr3/,0.3,KL2,"[(0, 0.8072805218176863), (3, 2.4203015123457456), (1, 2.7721839574770595), (2, 4.9895081633326415)]",0,0,True
output/skgrid_gr3/,0.5,MaxUtil,"[(0, -1.1855999871728362), (3, -0.0494946040563812), (1, -0.0014827924008354338), (2, -0.0006832554858003972)]",0,0,True
output/skgrid_gr3/,0.5,DP,"[(0, -3), (3, -1), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,0.5,KL,"[(0, 0.6712426026859933), (1, 2.768003902568367), (3, 2.9325536566179817), (2, 6.015556909786912)]",0,0,True
output/skgrid_gr3/,0.5,KL2,"[(0, 0.6711967928566475), (1, 2.7679498264432545), (3, 2.9324993588619552), (2, 6.015491540541537)]",0,0,True
output/skgrid_gr3/,0.7,MaxUtil,"[(0, -1.6495989849963482), (3, -0.11922598957114686), (1, -0.0024106101838292813), (2, -0.0008781474399480343)]",0,0,True
output/skgrid_gr3/,0.7,DP,"[(0, -5), (3, -2), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,0.7,KL,"[(0, 0.725677977073236), (3, 2.728942094658782), (1, 2.8584282729984025), (2, 5.676601321284857)]",0,0,True
output/skgrid_gr3/,0.7,KL2,"[(0, 0.7256308633748736), (3, 2.728887405749173), (1, 2.858372793026763), (2, 5.676535961258892)]",0,0,True
output/skgrid_gr3/,1.0,MaxUtil,"[(0, -1.6598389849963482), (3, -0.12946598791149644), (1, -0.004048993547140701), (2, -0.002516537760098027)]",0,0,True
output/skgrid_gr3/,1.0,DP,"[(0, -6), (3, -3), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr3/,1.0,KL,"[(0, 0.8070856311779658), (3, 2.4764723624477316), (1, 3.025022478318622), (2, 5.373498983054895)]",0,0,True
output/skgrid_gr3/,1.0,KL2,"[(0, 0.807036563918866), (3, 2.476416982513937), (1, 3.0249646765862033), (2, 5.373432947947983)]",0,0,True
output/skgrid_gr4/,0.1,MaxUtil,"[(0, -1.0255894868710334), (3, -0.24783665203067765), (1, -0.12065057021591967), (2, -0.011087406180823722)]",0,0,True
output/skgrid_gr4/,0.1,DP,"[(0, -2), (1, -1), (2, -1), (3, -1)]",0,0,True
output/skgrid_gr4/,0.1,KL,"[(0, 0.384314661860768), (3, 2.0832774668682768), (1, 2.408988047332431), (2, 3.794254242835123)]",0,0,True
output/skgrid_gr4/,0.1,KL2,"[(0, 0.38427551773822816), (3, 2.0832318460562496), (1, 2.408940757360983), (2, 3.794202931571371)]",0,0,True
output/skgrid_gr4/,0.3,MaxUtil,"[(0, -1.0654358917398123), (3, -0.4983362736838125), (1, -0.16932328112285133), (2, -0.028441711811504507)]",0,0,True
output/skgrid_gr4/,0.3,DP,"[(0, -4), (1, -3), (3, -3), (2, -1)]",0,0,True
output/skgrid_gr4/,0.3,KL,"[(0, 0.7583384116050822), (3, 1.565823970266194), (1, 1.7365649413429156), (2, 3.277722837075623)]",0,0,True
output/skgrid_gr4/,0.3,KL2,"[(0, 0.758301406676075), (3, 1.5657839586043174), (1, 1.7365240477862067), (2, 3.277676844139293)]",0,0,True
output/skgrid_gr4/,0.5,MaxUtil,"[(3, -1.2296197091025625), (1, -0.5994482979496897), (0, -0.5963555163775112), (2, -0.1260935495533529)]",0,3,False
output/skgrid_gr4/,0.5,DP,"[(0, -6), (1, -6), (2, -5), (3, -5)]",0,1,False
output/skgrid_gr4/,0.5,KL,"[(0, 0.5961207212505775), (3, 0.648187853198477), (1, 1.0915282794913608), (2, 1.7186049556168523)]",0,0,True
output/skgrid_gr4/,0.5,KL2,"[(0, 0.5960832961324712), (3, 0.8734481981833602), (1, 1.0914883616168887), (2, 1.7185636462925187)]",0,0,True
output/skgrid_gr4/,0.7,MaxUtil,"[(3, -1.7479830013213975), (0, -1.6640500646754195), (1, -0.7675086072037113), (2, -0.12552863769380332)]",0,3,False
output/skgrid_gr4/,0.7,DP,"[(0, -9), (3, -7), (1, -2), (2, -1)]",0,0,True
output/skgrid_gr4/,0.7,KL,"[(0, 0.642811178155348), (3, 1.0626127406400419), (1, 1.6040779211480545), (2, 3.02807915129905)]",0,0,True
output/skgrid_gr4/,0.7,KL2,"[(0, 0.6427726287722584), (3, 1.1667242328523781), (1, 1.6040352485571916), (2, 3.028032187572417)]",0,0,True
output/skgrid_gr4/,1.0,MaxUtil,"[(3, -1.753929521070181), (0, -1.6649937527201448), (1, -0.7734624807645308), (2, -0.15906744159756242)]",0,3,False
output/skgrid_gr4/,1.0,DP,"[(0, -12), (3, -10), (1, -5), (2, -4)]",0,0,True
output/skgrid_gr4/,1.0,KL,"[(0, 0.7520459834054293), (3, 1.0665836093461312), (1, 1.4721480285977762), (2, 2.5503900306719554)]",0,0,True
output/skgrid_gr4/,1.0,KL2,"[(0, 0.7520077683328957), (3, 1.144327021499583), (1, 1.4721067248350392), (2, 2.5503454646683665)]",0,0,True
output/skgrid_gr5/,0.1,MaxUtil,"[(0, -0.39999999999999963), (1, -0.06281236670704683), (2, -0.04836801926460415), (3, -0.000651291881688577)]",0,0,True
output/skgrid_gr5/,0.1,DP,"[(0, -1), (1, -1), (2, 0), (3, 0)]",0,1,False
output/skgrid_gr5/,0.1,KL,"[(0, 0.5655971758541973), (1, 1.2218300143333316), (2, 3.5320161948338074), (3, 4.568772067494862)]",0,0,True
output/skgrid_gr5/,0.1,KL2,"[(0, 0.5655409846384284), (1, 1.2217712123724953), (2, 3.531948584083039), (3, 4.568700898771149)]",0,0,True
output/skgrid_gr5/,0.3,MaxUtil,"[(0, -0.4895999999999995), (2, -0.1376168698694395), (1, -0.0771396157730673), (3, -0.036305131476286195)]",0,0,True
output/skgrid_gr5/,0.3,DP,"[(0, -3), (1, -3), (2, -2), (3, 0)]",0,1,False
output/skgrid_gr5/,0.3,KL,"[(0, 0.5655971758493806), (1, 1.2164961232454532), (2, 1.985560706355005), (3, 4.101582298176222)]",0,0,True
output/skgrid_gr5/,0.3,KL2,"[(0, 0.5655409846336116), (1, 1.2164373050761335), (2, 1.9854989807680177), (3, 4.10151228067055)]",0,0,True
output/skgrid_gr5/,0.5,MaxUtil,"[(0, -1.435839999999999), (1, -0.22810999204313737), (2, -0.09123060345363944), (3, -0.09030592799725728)]",0,0,True
output/skgrid_gr5/,0.5,DP,"[(0, -4), (1, -4), (2, -2), (3, 0)]",0,1,False
output/skgrid_gr5/,0.5,KL,"[(0, 0.5243323637980934), (1, 1.189470392265202), (2, 2.7664224556611505), (3, 4.352997218859249)]",0,0,True
output/skgrid_gr5/,0.5,KL2,"[(0, 0.5242803943759413), (1, 1.189415628341328), (2, 2.7663619129622026), (3, 4.352931182698044)]",0,0,True
output/skgrid_gr5/,0.7,MaxUtil,"[(0, -1.2598399999999992), (2, -0.2613084854999531), (1, -0.20109852799946798), (3, -0.10289207483341278)]",0,0,True
output/skgrid_gr5/,0.7,DP,"[(0, -5), (1, -5), (2, -4), (3, 0)]",0,1,False
output/skgrid_gr5/,0.7,KL,"[(0, 0.5325853262092816), (1, 1.1928773154262866), (2, 1.9923812125187141), (3, 4.153151253402648)]",0,0,True
output/skgrid_gr5/,0.7,KL2,"[(0, 0.5325325124284059), (1, 1.1928217333081301), (2, 1.9923228296434132), (3, 4.153084758332748)]",0,0,True
output/skgrid_gr5/,1.0,MaxUtil,"[(0, -1.6639359999999987), (2, -0.3137725046967537), (1, -0.26456625418805224), (3, -0.2635433667151011)]",0,0,True
output/skgrid_gr5/,1.0,DP,"[(0, -7), (3, -1), (1, 0), (2, 0)]",0,0,True
output/skgrid_gr5/,1.0,KL,"[(0, 0.6199364429330837), (1, 1.563014994195351), (2, 2.4641156817439414), (3, 3.6764380376947874)]",0,0,True
output/skgrid_gr5/,1.0,KL2,"[(0, 0.6198845974315234), (1, 1.5629592875710645), (2, 2.4640567161806612), (3, 3.676374759392712)]",0,0,True
output/skgrid_gr6/,0.1,MaxUtil,"[(0, -1.1599999999999993), (3, -2.037665152101641e-08), (1, -0.0), (2, 0)]",0,0,True
output/skgrid_gr6/,0.1,DP,"[(0, -2), (1, 0), (2, 0), (3, 0)]",0,0,True
output/skgrid_gr6/,0.1,KL,"[(0, 0.21412480535284553), (1, nan), (2, nan), (3, 7.778395125578133)]",0,0,True
output/skgrid_gr6/,0.1,KL2,"[(1, 0.0), (0, 0.21410276131222483), (2, 1.9999358772156615), (3, 3.8891638028815962)]",0,1,False
output/skgrid_gr6/,0.3,MaxUtil,"[(2, -1.469996543980869), (3, -0.6006377363190587), (1, -0.5996615427676286), (0, -0.002408442337540723)]",0,2,False
output/skgrid_gr6/,0.3,DP,"[(0, -6), (2, -6), (1, -3), (3, -2)]",0,2,False
output/skgrid_gr6/,0.3,KL,"[(0, 0.6406646695612969), (2, 0.640664700875204), (3, 1.7090191374532324), (1, 4.57294063388521)]",0,0,True
output/skgrid_gr6/,0.3,KL2,"[(0, 0.6406217318435663), (2, 0.6406217631571237), (3, 1.7089718141898462), (1, 4.57288496823844)]",0,0,True
output/skgrid_gr6/,0.5,MaxUtil,"[(2, -1.466555903999999), (0, -1.1880028051931129), (3, -0.6006422800356396), (1, -0.26369030024199963)]",0,2,False
output/skgrid_gr6/,0.5,DP,"[(0, -9), (2, -6), (3, -5), (1, -3)]",0,0,True
output/skgrid_gr6/,0.5,KL,"[(0, 0.4984846685793403), (2, 0.6406646995182724), (3, 3.3938262246287136), (1, 4.57293165893994)]",0,0,True
output/skgrid_gr6/,0.5,KL2,"[(0, 0.49844869542071496), (2, 1.0937264669386841), (3, 3.016689852213682), (1, 3.048583995555033)]",0,0,True
output/skgrid_gr6/,0.7,MaxUtil,"[(0, -1.440765578637326), (1, -0.8626560678340948), (3, -0.5407016770735243), (2, -0.5063346175808673)]",0,0,True
output/skgrid_gr6/,0.7,DP,"[(0, -13), (2, -8), (3, -3), (1, 0)]",0,0,True
output/skgrid_gr6/,0.7,KL,"[(0, 0.5627024777645158), (2, 0.7805657041146735), (3, 3.6309001084397052), (1, 4.878359919137728)]",0,0,True
output/skgrid_gr6/,0.7,KL2,"[(0, 0.5626663084515945), (2, 1.2495265413824586), (3, 3.3515542789408936), (1, 3.3772856339515154)]",0,0,True
output/skgrid_gr6/,1.0,MaxUtil,"[(0, -1.6666665521340551), (2, -1.6665967615808666), (1, -0.8908142078589816), (3, -0.8237189889525562)]",0,0,True
