problem,obs,metric,scores,real_goal,pred_goal,correct
output/hanoi_gr/,1.0,KL2,"[(0, 0.515865401625341), (3, 0.7047066532465267), (2, 2.1755098354875924), (1, 5.425182501910344)]",0,0,True
output/hanoi_gr2/,0.1,MaxUtil,"[(2, -0.04543413669478626), (0, -0.025599999999999953), (1, -0.025599999999999953), (3, -0.016896301360209382)]",0,2,False
output/hanoi_gr2/,0.1,DP,"[(0, -1), (1, -1), (2, 0), (3, 0)]",0,1,False
output/hanoi_gr2/,0.1,KL,"[(0, 0.6415460290875237), (1, 0.6415460290875237), (2, 3.4033128936278367), (3, 5.70723039207683)]",0,1,False
output/hanoi_gr2/,0.1,KL2,"[(0, 0.641450972442358), (1, 0.641450972442358), (2, 3.403136509517411), (3, 5.70698902667991)]",0,1,False
output/hanoi_gr2/,0.3,MaxUtil,"[(0, -1.0680959999999993), (1, -1.0680959999999993), (3, -1.0022676451601464), (2, -0.4058429267088434)]",0,1,False
output/hanoi_gr2/,0.3,DP,"[(0, -3), (1, -3), (3, -1), (2, 0)]",0,1,False
output/hanoi_gr2/,0.3,KL,"[(0, 0.5091702619456483), (1, 0.509170261945935), (2, 4.895696451480792), (3, 6.652934182197796)]",0,0,True
output/hanoi_gr2/,0.3,KL2,"[(0, 0.5090848208507442), (1, 0.5090848208510309), (2, 4.895483234802311), (3, 6.652673852759989)]",0,0,True
output/hanoi_gr2/,0.5,MaxUtil,"[(3, -1.019164046395247), (0, -0.49369599999999947), (1, -0.49369599999999947), (2, -0.45129145379039237)]",0,3,False
output/hanoi_gr2/,0.5,DP,"[(0, -4), (1, -4), (3, -1), (2, 0)]",0,1,False
output/hanoi_gr2/,0.5,KL,"[(0, 0.4820121788563055), (1, 0.4820121788563056), (2, 4.451502314389254), (3, 6.4644296187143215)]",0,0,True
output/hanoi_gr2/,0.5,KL2,"[(0, 0.48192629116053143), (1, 0.48192629116053154), (2, 4.451299191522995), (3, 6.464169655588808)]",0,0,True
output/hanoi_gr2/,0.7,MaxUtil,"[(0, -1.5958399999999988), (1, -1.5958399999999988), (2, -0.20445879012020202), (3, -0.016906333792897636)]",0,1,False
output/hanoi_gr2/,0.7,DP,"[(0, -5), (1, -5), (2, 0), (3, 0)]",0,1,False
output/hanoi_gr2/,0.7,KL,"[(0, 0.5451427892850954), (1, 0.5451427892852675), (2, 5.783807672306636), (3, 10.777792528821964)]",0,0,True
output/hanoi_gr2/,0.7,KL2,"[(0, 0.5450508642986422), (1, 0.5450508642988143), (2, 5.783563005790077), (3, 9.60317995411057)]",0,0,True
output/hanoi_gr2/,1.0,MaxUtil,"[(0, -1.6639359999999987), (1, -1.6639359999999987), (3, -1.0191739786479075), (2, -0.6103009267603258)]",0,1,False
output/hanoi_gr2/,1.0,DP,"[(0, -7), (1, -7), (3, -1), (2, 0)]",0,1,False
output/hanoi_gr2/,1.0,KL,"[(0, 0.5159541004542068), (1, 0.5159541004543298), (2, 5.093495135582859), (3, 8.344503136444681)]",0,0,True
output/hanoi_gr2/,1.0,KL2,"[(0, 0.5158654016582336), (1, 0.5158654016583565), (2, 5.093272451444849), (3, 7.853058487466084)]",0,0,True
output/hanoi_gr3/,0.1,MaxUtil,"[(3, -0.1599999999999923), (2, -0.06399999999999935), (0, -0.025599999999999953), (1, -0.0016383999999993195)]",0,3,False
output/hanoi_gr3/,0.1,DP,"[(0, -1), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr3/,0.1,KL,"[(0, 0.6415460290875235), (1, 2.1699250014406943), (2, 3.0443941193584507), (3, 3.044394119358513)]",0,0,True
output/hanoi_gr3/,0.1,KL2,"[(0, 0.6414509724423576), (1, 2.169783390850896), (2, 3.044227576174373), (3, 3.044227576174435)]",0,0,True
output/hanoi_gr3/,0.3,MaxUtil,"[(3, -0.22399999022670028), (0, -0.08959999999999983), (2, -0.0895999902467435), (1, -0.003276452886007994)]",0,3,False
output/hanoi_gr3/,0.3,DP,"[(0, -2), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr3/,0.3,KL,"[(0, 0.5210419793356262), (1, 2.1700438663792294), (3, 3.1648982521266014), (2, 3.164898410915341)]",0,0,True
output/hanoi_gr3/,0.3,KL2,"[(0, 0.520950837263851), (1, 2.169902252274461), (3, 3.1647277943667333), (2, 3.1647279531508126)]",0,0,True
output/hanoi_gr3/,0.5,MaxUtil,"[(0, -1.223999999999999), (3, -0.09290277373374786), (2, -0.036739042862396216), (1, -0.004660983004797721)]",0,0,True
output/hanoi_gr3/,0.5,DP,"[(0, -3), (1, 0), (2, 0), (3, 0)]",0,0,True
output/hanoi_gr3/,0.5,KL,"[(0, 0.5612099958768894), (1, 2.219132384523972), (3, 3.194409504577106), (2, 3.342384815272632)]",0,0,True
output/hanoi_gr3/,0.5,KL2,"[(0, 0.5611175489473185), (1, 2.218989334335344), (3, 3.1942384186695825), (2, 3.342209495157276)]",0,0,True
