problem,obs,metric,scores,real_goal,pred_goal,correct,correct_num
output/blocks_gr2/,0.5,KL2,"[0.5104409212157313, 5.380651561657646, 0.490621651146306, 5.01592163162957]",0,2,False,0
output/blocks_gr2/,0.7,MaxUtil,"[-1.5855999999999988, -0.004670842703514386, -0.00016626221008994834, -2.6838560282233766e-06]",0,0,True,1
output/blocks_gr2/,0.7,DP,"[-4, -1, -4, -1]",0,2,False,0
output/blocks_gr2/,0.7,KL,"[0.6451994594995973, 5.047392062398851, 0.6683170054575899, 11.747695471099895]",0,0,True,1
output/blocks_gr2/,0.7,KL2,"[0.645059185135984, 5.0470456739603495, 0.6681755440879792, 8.810284586240885]",0,0,True,1
output/blocks_gr2/,1.0,MaxUtil,"[-1.6495999999999986, -0.0063092418759199, -0.00017297309630581492, -3.2097194674741245e-06]",0,0,True,1
output/blocks_gr2/,1.0,DP,"[-5, -1, -5, -1]",0,2,False,0
output/blocks_gr2/,1.0,KL,"[0.6292790023527706, 4.679804408531004, 0.6397385454957444, 9.82617657957226]",0,0,True,1
output/blocks_gr2/,1.0,KL2,"[0.629137871964639, 4.679473005859732, 0.6395968963968939, 7.860489437258659]",0,0,True,1
output/blocks_gr3/,0.1,MaxUtil,"[-4.462739454902325e-05, -0.0041486191835136774, -0.42559999998013154, -2.6960892382607896e-06]",0,2,False,0
output/blocks_gr3/,0.1,DP,"[-2, -1, -2, -1]",0,2,False,0
output/blocks_gr3/,0.1,KL,"[1.1625651276619307, 2.769069514653695, 0.807331194175744, 3.489932495039981]",0,2,False,0
output/blocks_gr3/,0.1,KL2,"[1.1623997511116686, 2.7688296193449107, 0.8071831250533557, 3.4896632615274448]",0,2,False,0
output/blocks_gr3/,0.3,MaxUtil,"[-0.030620214886395547, -0.0016383447800099678, -0.066196318399423, -1.0026865408124304e-06]",0,2,False,0
output/blocks_gr3/,0.3,DP,"[-5, 0, -1, 0]",0,0,True,1
output/blocks_gr3/,0.3,KL,"[0.5905736954776073, 7.1894087700838325, 4.15556956774484, 10.687269049352517]",0,0,True,1
output/blocks_gr3/,0.3,KL2,"[0.59043772777557, 4.3133812786946155, 2.7788980295129293, 10.686670607465604]",0,0,True,1
output/blocks_gr3/,0.5,MaxUtil,"[-0.571946515496944, -0.006329821494357242, -0.6495999999795525, -3.793513542430248e-06]",0,2,False,0
output/blocks_gr3/,0.5,DP,"[-8, -1, -4, -1]",0,0,True,1
output/blocks_gr3/,0.5,KL,"[0.7096403607810429, 3.0357542484088507, 0.6863323990432953, 7.664703692618562]",0,2,False,0
output/blocks_gr3/,0.5,KL2,"[0.7094989956561936, 1.5177407584750264, 0.3430868740507263, 5.7481765984795]",0,2,False,0
output/blocks_gr3/,0.7,MaxUtil,"[-1.6023440128409434, -0.005735283714567098, -1.0917963183795543, -3.6879864806495203e-06]",0,0,True,1
output/blocks_gr3/,0.7,DP,"[-11, -1, -3, -1]",0,0,True,1
